[04:09:27] [main/INFO]: Loading Minecraft 1.20.2 with Fabric Loader 0.16.3
[04:09:27] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.20.2
[04:09:27] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/One-Block/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[04:09:35] [main/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04:09:38] [main/INFO]: Loaded 7 recipes
[04:09:38] [main/INFO]: Loaded 1271 advancements
[04:09:39] [Server thread/INFO]: Starting minecraft server version 1.20.2
[04:09:39] [Server thread/INFO]: Loading properties
[04:09:39] [Server thread/INFO]: Default game type: SURVIVAL
[04:09:39] [Server thread/INFO]: Generating keypair
[04:09:39] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:09:40] [Server thread/INFO]: Using epoll channel type
[04:09:40] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04:09:40] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[04:09:40] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04:09:40] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[04:09:40] [Server thread/INFO]: Preparing level "world"
[04:09:52] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:09:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:55] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:55] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:09:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:19] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:19] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:21] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:21] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:27] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:27] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:31] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:31] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:32] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:32] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:36] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:36] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:10:45] [Server thread/INFO]: Time elapsed: 52691 ms
[04:10:45] [Server thread/INFO]: Done (65.305s)! For help, type "help"
